precision,recall,f1-score,support,Model
0.8836,0.7915,0.835,585.0,model5
0.8539,0.8539,0.8539,0.8539,model5
0.8869,0.8523,0.8676,13659.0,model5
0.8574,0.8539,0.854,13659.0,model5
0.8314,0.8623,0.8465,1561.0,model6
0.8663,0.75,0.804,648.0,model6
0.7347,0.7758,0.7547,571.0,model6
0.986,0.9747,0.9803,434.0,model6
0.9243,0.9065,0.9153,620.0,model6
0.9878,0.931,0.9586,174.0,model6
0.884,0.9003,0.8921,381.0,model6
0.816,0.8057,0.8108,1580.0,model6
0.797,0.8096,0.8033,1334.0,model6
0.9052,0.7855,0.8411,401.0,model6
0.9208,0.6242,0.744,149.0,model6
0.9104,0.883,0.8965,932.0,model6
0.7895,0.8753,0.8302,2310.0,model6
0.9938,0.9086,0.9493,175.0,model6
0.9016,0.9671,0.9332,1004.0,model6
0.9402,0.8084,0.8693,428.0,model6
0.9201,0.8978,0.9088,372.0,model6
0.9163,0.7675,0.8353,585.0,model6
0.8515,0.8515,0.8515,0.8515,model6
0.8903,0.8463,0.8652,13659.0,model6
0.8546,0.8515,0.8514,13659.0,model6
0.7679,0.852,0.8078,1561.0,model7
0.8648,0.6512,0.743,648.0,model7
0.8096,0.5587,0.6611,571.0,model7
0.9929,0.9654,0.979,434.0,model7
0.9642,0.8694,0.9143,620.0,model7
0.9938,0.9195,0.9552,174.0,model7
0.9215,0.832,0.8745,381.0,model7
0.6727,0.8,0.7308,1580.0,model7
0.7561,0.6949,0.7242,1334.0,model7
0.8556,0.783,0.8177,401.0,model7
0.7699,0.5839,0.6641,149.0,model7
0.7253,0.912,0.808,932.0,model7
0.7671,0.81,0.788,2310.0,model7
0.9425,0.9371,0.9398,175.0,model7
0.96,0.9074,0.9329,1004.0,model7
0.8616,0.8435,0.8524,428.0,model7
0.9333,0.828,0.8775,372.0,model7
0.8615,0.7231,0.7862,585.0,model7
0.8043,0.8043,0.8043,0.8043,model7
0.8567,0.8039,0.8254,13659.0,model7
0.8127,0.8043,0.8042,13659.0,model7
